id,text
1,I love this course—everything finally makes sense.
2,This library is unbelievably fast and easy to use!
3,"The results were okay, but I expected better."
4,I'm disappointed; the model keeps crashing.
5,"What a fantastic update, great job team!"
6,"Nothing special here, it's just average."
7,Terrible experience—docs are confusing and outdated.
8,"Absolutely brilliant idea, I'm impressed."
9,"It works, but the accuracy is not great."
10,I hate how slow this is on my machine.
11,Not bad at all; decent baseline performance.
12,Best demo I've tried this semester.
13,The interface is clunky and frustrating.
14,Pretty good—setup took only a minute.
15,Awful bug; it crashes every single time.
